USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV22CS116,3.2,3.2,6.4,3.2,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS117,3.4,3.4,6.8,3.4,,,3.2,6.4,3.2,3.2,,,,,,,,,,,,,,,,,,,,
1RV22CS118,3.6,3.6,7.2,3.6,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS119,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS240,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV23CS406,3.6,3.6,7.2,3.6,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV23CS407,3.4,3.4,6.8,3.4,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV23CS408,3.4,3.4,6.8,3.4,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV23CS409,3.4,3.4,6.8,3.4,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV23CS410,3.8,3.8,7.6,3.8,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV23CS411,3.4,3.4,6.8,3.4,,,3.4,6.8,3.4,3.4,,,,,,,,,,,,,,,,,,,,
1RV22CS120,3.4,3.4,6.8,3.4,,,3.6,7.2,3.6,3.6,,,,,,,,,,,,,,,,,,,,
1RV22CS121,3,3,5,4,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS122,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS123,4,3,6,3,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS124,4,4,6,4,,,4,7,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS125,4,4,7,4,,,3,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS126,4,3,5,3,,,3,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS127,4,3,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS128,4,4,5,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS129,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS130,3,3,6,3,,,4,5,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS131,4,4,6,4,,,4,6,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS132,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS133,4,4,6,4,,,3,6,4,4,,,,,,,,,,,,,,,,,,,,
